t,D_output
0,1.0
1,1.0149766745985258
2,1.0299033366046588
3,1.0447748038549618
4,1.059585710423111
5,1.0743305074738774
6,1.0890034647951647
7,1.103598672775468
8,1.1181100446486243
9,1.1325313200053788
10,1.1468560679969826
11,1.1610776915018255
12,1.175189431867212
13,1.1891843741099806
14,1.2030554529161375
15,1.2167954591034211
16,1.2303970468176426
17,1.2438527412902336
18,1.2571549473215877
19,1.270295958350527
20,1.283267966224251
21,1.2960630715766561
22,1.3086732948890432
23,1.3210905882081996
24,1.3333068473410425
25,1.3453139248687782
26,1.3571036435592896
27,1.3686678104550853
28,1.379998231453736
29,1.3910867263590911
30,1.4019251444835588
31,1.4125053805402297
32,1.4228193910825484
33,1.432859211087989
34,1.442616971007231
35,1.452084913876023
36,1.4612554127156945
37,1.4701209879654396
38,1.4786743249725687
39,1.4869082914933405
40,1.4948159550124787
41,1.5023906000150897
42,1.5096257448889918
43,1.516515158637814
44,1.523052877111215
45,1.5292332188416329
46,1.535050800318361
47,1.5405005506627676
48,1.5455777256422463
49,1.550277920930044
50,1.5545970845569514
51,1.5585315285233878
52,1.5620779394213264
53,1.5652333881673341
54,1.5679953385909802
55,1.5703616550614463
56,1.5723306088999167
57,1.573900883699198
58,1.5750715794659456
59,1.575842215485254
60,1.576212732127121
61,1.576183491198421
62,1.5757552753407338
63,1.5749292859191646
64,1.5737071399623652
65,1.5720908656935195
66,1.5700828970284966
67,1.5676860668829942
68,1.564903599322045
69,1.5617391007924049
70,1.5581965501079036
71,1.5542802877409414
72,1.5499950039189387
73,1.5453457261246102
74,1.540337805602148
75,1.534976903278056
76,1.5292689749600639
77,1.5232202559521142
78,1.5168372452126375
79,1.5101266889806433
80,1.5030955641447974
81,1.4957510612180531
82,1.4881005671706664
83,1.4801516480702912
84,1.471912031658574
85,1.4633895899273082
86,1.4545923217343686
87,1.445528335551478
88,1.4362058324046756
89,1.4266330890096794
90,1.416818441282027
91,1.4067702680794207
92,1.3964969754653918
93,1.386006981275563
94,1.375308700272714
95,1.364410529727373
96,1.3533208355747415
97,1.3420479391579392
98,1.330600104481131
99,1.3189855262062327
100,1.3072123181017814
101,1.295288502317307
102,1.2832219991205185
103,1.2710206174400371
104,1.2586920459447373
105,1.2462438448393174
106,1.2336834382934574
107,1.2210181074715085
108,1.2082549842768602
109,1.1954010455985862
110,1.182463108294077
111,1.1694478246296967
112,1.1563616784408297
113,1.143210981718156
114,1.1300018717547915
115,1.1167403089128614
116,1.1034320747278514
117,1.0900827706250291
118,1.0766978170006554
119,1.0632824527376676
120,1.0498417351827836
121,1.0363805404270314
122,1.0229035640053343
123,1.0094153219014166
124,0.9959201518638787
125,0.9824222150273868
126,0.9689254977916244
